ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"72","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:03:15:04","00:03:23:05","00:00:08:01","17:18:53:12","17:19:01:13","","IMAGE, FRAMEFLEX"
"73","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:03:23:05","00:03:33:20","00:00:10:15","17:19:09:00","17:19:19:15","","IMAGE, FRAMEFLEX"
"74","UNNAMED","C6927.MP4.SYNC.01","","V1","00:03:33:20","00:03:35:00","00:00:01:05","10:26:36:23","10:26:38:03","","IMAGE, FRAMEFLEX"
"75","UNNAMED","C6926.MP4.SYNC.01","","V1","00:03:35:00","00:03:35:22","00:00:00:22","10:26:20:15","10:26:21:12","","IMAGE, FRAMEFLEX"
"76","UNNAMED","C6925.MP4.SYNC.01","","V1","00:03:35:22","00:03:36:17","00:00:00:20","10:25:57:01","10:25:57:21","","IMAGE, FRAMEFLEX"
"77","UNNAMED","C6940.MP4.SYNC.01","","V1","00:03:36:17","00:03:37:24","00:00:01:07","10:33:37:01","10:33:39:10","","IMAGE, FRAMEFLEX"
"78","UNNAMED","C6943.MP4.SYNC.01","","V1","00:03:37:24","00:03:39:05","00:00:01:06","10:35:02:06","10:35:04:18","","IMAGE, FRAMEFLEX"
"79","UNNAMED","C6939.MP4.SYNC.01","","V1","00:03:39:05","00:03:40:01","00:00:00:21","10:32:36:07","10:32:37:03","","IMAGE, FRAMEFLEX"
"80","UNNAMED","C6929.MP4.SYNC.01","","V1","00:03:40:01","00:03:40:22","00:00:00:21","10:27:19:02","10:27:19:23","","IMAGE, FRAMEFLEX"
"81","UNNAMED","C6929.MP4.SYNC.01","","V1","00:03:40:22","00:03:41:10","00:00:00:13","10:27:30:24","10:27:31:12","","IMAGE, FRAMEFLEX"
"82","UNNAMED","599_4685.MXF.SYNC.01","","V1","00:03:41:10","00:03:42:04","00:00:00:19","21:23:32:12","21:23:33:15","","IMAGE, FRAMEFLEX"
"83","UNNAMED","599_4685.MXF.SYNC.01","","V1","00:03:42:04","00:03:43:11","00:00:01:07","21:23:34:22","21:23:36:04","","IMAGE, FRAMEFLEX"
"84","UNNAMED","599_4685.MXF.SYNC.01","","V1","00:03:43:11","00:03:44:13","00:00:01:02","21:23:38:03","21:23:39:05","","IMAGE, FRAMEFLEX"
"85","UNNAMED","599_4682.MXF.SYNC.01","","V1","00:03:44:13","00:03:45:20","00:00:01:07","21:20:42:00","21:20:43:07","","IMAGE, FRAMEFLEX"
"86","UNNAMED","599_4683.MXF.SYNC.01","","V1","00:03:45:20","00:03:47:10","00:00:01:15","21:21:32:11","21:21:34:01","","IMAGE, FRAMEFLEX"
"87","UNNAMED","DJI_20251209212207_0004_D.MP4","DJI_20251209212207_0004_D.MP4","V1","00:03:47:10","00:03:49:14","00:00:02:04","00:38:44:22","00:38:47:01","","IMAGE, FRAMEFLEXIMAGE, FLIP-FLOP"
"88","UNNAMED","599_4681.MXF","599_4681.MXF","V1","00:03:49:14","00:03:52:06","00:00:02:17","21:14:31:20","21:14:42:12","",""
"89","UNNAMED","599_4680.MXF","599_4680.MXF","V1","00:03:52:06","00:03:58:17","00:00:06:11","21:08:26:20","21:08:33:06","",""
"90","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:03:58:17","00:04:03:02","00:00:04:10","19:44:36:07","19:44:40:17","","IMAGE, FRAMEFLEX"
"91","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:03:02","00:04:07:00","00:00:03:23","10:02:25:11","10:02:29:09","","IMAGE, FRAMEFLEX"
"92","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:07:00","00:04:09:09","00:00:02:09","10:02:29:09","10:02:31:18","","IMAGE, FRAMEFLEX"
"93","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:09:09","00:04:12:22","00:00:03:13","10:02:31:18","10:02:35:06","","IMAGE, FRAMEFLEX"
"94","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:04:12:22","00:04:16:06","00:00:03:09","19:45:47:20","19:45:51:04","","IMAGE, FRAMEFLEX"
"95","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:16:06","00:04:21:00","00:00:04:19","10:02:38:14","10:02:43:08","","IMAGE, FRAMEFLEX"
"96","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:04:21:00","00:04:22:15","00:00:01:15","19:46:07:04","19:46:08:19","","IMAGE, FRAMEFLEX"
"97","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:22:15","00:04:27:22","00:00:05:07","10:02:52:03","10:02:57:10","","IMAGE, FRAMEFLEX"
"98","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:04:27:22","00:04:30:14","00:00:02:17","19:46:25:03","19:46:27:20","","IMAGE, FRAMEFLEX"
"99","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:30:14","00:04:37:10","00:00:06:21","10:03:01:03","10:03:06:14","","IMAGE, FRAMEFLEX"
"100","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:04:37:10","00:04:42:13","00:00:05:03","19:46:47:02","19:46:52:05","","IMAGE, FRAMEFLEX"
"101","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:42:13","00:04:47:14","00:00:05:01","10:03:07:12","10:03:12:13","","IMAGE, FRAMEFLEX"
"102","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:04:47:14","00:04:52:09","00:00:04:20","19:47:10:22","19:47:15:17","","IMAGE, FRAMEFLEX"
"103","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:04:52:09","00:04:58:15","00:00:06:06","19:47:27:09","19:47:33:15","","IMAGE, FRAMEFLEX"
"104","UNNAMED","C6920.MP4.SYNC.01","","V1","00:04:58:15","00:05:01:22","00:00:03:07","10:03:14:00","10:03:17:07","","IMAGE, FRAMEFLEX"
"105","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:01:22","00:05:06:10","00:00:04:13","10:03:21:06","10:03:25:19","","IMAGE, FRAMEFLEX"
"106","UNNAMED","599_4674.MXF.SYNC.01","","V1","00:05:06:10","00:05:08:02","00:00:01:17","19:48:53:22","19:48:55:14","","IMAGE, FRAMEFLEX"
"107","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:08:02","00:05:09:12","00:00:01:10","10:08:05:16","10:08:07:01","","IMAGE, FRAMEFLEX"
"108","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:09:12","00:05:10:13","00:00:01:01","10:08:33:11","10:08:34:12","","IMAGE, FRAMEFLEX"
"109","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:10:13","00:05:11:01","00:00:00:13","10:08:47:24","10:08:48:12","","IMAGE, FRAMEFLEX"
"110","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:11:01","00:05:11:07","00:00:00:06","10:09:09:21","10:09:10:02","","IMAGE, FRAMEFLEX"
"111","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:11:07","00:05:11:11","00:00:00:04","10:09:28:03","10:09:28:07","","IMAGE, FRAMEFLEX"
"112","UNNAMED","C6920.MP4.SYNC.01","","V1","00:05:11:11","00:05:11:14","00:00:00:03","10:09:45:24","10:09:46:02","","IMAGE, FRAMEFLEX"
